album_id,artist_id,album_name,release_year
alb_0001,art_0066,Album_1,2024
alb_0002,art_0012,Album_2,2023
alb_0003,art_0168,Album_3,2018
alb_0004,art_0073,Album_4,2023
alb_0005,art_0076,Album_5,2021
alb_0006,art_0090,Album_6,2025
alb_0007,art_0201,Album_7,2020
alb_0008,art_0010,Album_8,2019
alb_0009,art_0096,Album_9,2025
alb_0010,art_0249,Album_10,2023
alb_0011,art_0226,Album_11,2016
alb_0012,art_0176,Album_12,2025
alb_0013,art_0020,Album_13,2016
alb_0014,art_0039,Album_14,2025
alb_0015,art_0060,Album_15,2023
alb_0016,art_0066,Album_16,2017
alb_0017,art_0065,Album_17,2022
alb_0018,art_0179,Album_18,2025
alb_0019,art_0124,Album_19,2023
alb_0020,art_0164,Album_20,2022
alb_0021,art_0152,Album_21,2018
alb_0022,art_0246,Album_22,2015
alb_0023,art_0155,Album_23,2018
alb_0024,art_0130,Album_24,2023
alb_0025,art_0159,Album_25,2016
alb_0026,art_0057,Album_26,2017
alb_0027,art_0078,Album_27,2024
alb_0028,art_0194,Album_28,2022
alb_0029,art_0029,Album_29,2020
alb_0030,art_0015,Album_30,2022
alb_0031,art_0012,Album_31,2021
alb_0032,art_0101,Album_32,2019
alb_0033,art_0156,Album_33,2023
alb_0034,art_0084,Album_34,2018
alb_0035,art_0125,Album_35,2020
alb_0036,art_0103,Album_36,2016
alb_0037,art_0024,Album_37,2016
alb_0038,art_0149,Album_38,2016
alb_0039,art_0138,Album_39,2024
alb_0040,art_0110,Album_40,2021
alb_0041,art_0078,Album_41,2016
alb_0042,art_0101,Album_42,2016
alb_0043,art_0146,Album_43,2023
alb_0044,art_0216,Album_44,2021
alb_0045,art_0142,Album_45,2025
alb_0046,art_0162,Album_46,2017
alb_0047,art_0128,Album_47,2017
alb_0048,art_0058,Album_48,2021
alb_0049,art_0076,Album_49,2019
alb_0050,art_0150,Album_50,2024
alb_0051,art_0248,Album_51,2020
alb_0052,art_0198,Album_52,2022
alb_0053,art_0036,Album_53,2023
alb_0054,art_0173,Album_54,2015
alb_0055,art_0164,Album_55,2017
alb_0056,art_0022,Album_56,2025
alb_0057,art_0206,Album_57,2021
alb_0058,art_0127,Album_58,2020
alb_0059,art_0080,Album_59,2021
alb_0060,art_0189,Album_60,2022
alb_0061,art_0100,Album_61,2020
alb_0062,art_0184,Album_62,2017
alb_0063,art_0217,Album_63,2016
alb_0064,art_0096,Album_64,2021
alb_0065,art_0161,Album_65,2025
alb_0066,art_0173,Album_66,2015
alb_0067,art_0164,Album_67,2017
alb_0068,art_0148,Album_68,2025
alb_0069,art_0018,Album_69,2018
alb_0070,art_0038,Album_70,2015
alb_0071,art_0195,Album_71,2019
alb_0072,art_0151,Album_72,2024
alb_0073,art_0224,Album_73,2017
alb_0074,art_0109,Album_74,2016
alb_0075,art_0123,Album_75,2017
alb_0076,art_0144,Album_76,2022
alb_0077,art_0187,Album_77,2020
alb_0078,art_0197,Album_78,2021
alb_0079,art_0196,Album_79,2020
alb_0080,art_0149,Album_80,2020
alb_0081,art_0104,Album_81,2017
alb_0082,art_0243,Album_82,2022
alb_0083,art_0206,Album_83,2021
alb_0084,art_0231,Album_84,2021
alb_0085,art_0223,Album_85,2020
alb_0086,art_0206,Album_86,2019
alb_0087,art_0198,Album_87,2024
alb_0088,art_0140,Album_88,2022
alb_0089,art_0144,Album_89,2019
alb_0090,art_0081,Album_90,2023
alb_0091,art_0237,Album_91,2023
alb_0092,art_0087,Album_92,2015
alb_0093,art_0142,Album_93,2020
alb_0094,art_0061,Album_94,2021
alb_0095,art_0199,Album_95,2017
alb_0096,art_0046,Album_96,2021
alb_0097,art_0032,Album_97,2025
alb_0098,art_0015,Album_98,2025
alb_0099,art_0044,Album_99,2021
alb_0100,art_0145,Album_100,2025
alb_0101,art_0169,Album_101,2016
alb_0102,art_0054,Album_102,2021
alb_0103,art_0239,Album_103,2015
alb_0104,art_0044,Album_104,2019
alb_0105,art_0098,Album_105,2023
alb_0106,art_0005,Album_106,2021
alb_0107,art_0109,Album_107,2021
alb_0108,art_0027,Album_108,2025
alb_0109,art_0116,Album_109,2016
alb_0110,art_0087,Album_110,2022
alb_0111,art_0104,Album_111,2017
alb_0112,art_0123,Album_112,2022
alb_0113,art_0206,Album_113,2017
alb_0114,art_0079,Album_114,2024
alb_0115,art_0043,Album_115,2021
alb_0116,art_0097,Album_116,2016
alb_0117,art_0245,Album_117,2018
alb_0118,art_0031,Album_118,2025
alb_0119,art_0099,Album_119,2020
alb_0120,art_0017,Album_120,2025
